,close,date,high,low,open,volume
338,620.0,2018-10-30 13:45:00+05:30,620.0,620.0,620.0,0
339,620.0,2018-10-30 14:00:00+05:30,620.0,620.0,620.0,0
340,620.0,2018-10-30 14:15:00+05:30,620.0,620.0,620.0,0
341,620.0,2018-10-30 14:30:00+05:30,620.0,620.0,620.0,0
342,620.0,2018-10-30 14:45:00+05:30,620.0,620.0,620.0,0
343,620.0,2018-10-30 15:00:00+05:30,620.0,620.0,620.0,0
344,620.0,2018-10-30 15:15:00+05:30,620.0,620.0,620.0,0
345,606.0,2018-10-31 13:30:00+05:30,616.0,606.0,616.0,150
346,592.0,2018-10-31 13:45:00+05:30,606.0,592.0,606.0,150
347,580.0,2018-10-31 14:00:00+05:30,592.0,580.0,592.0,150
348,580.0,2018-10-31 14:15:00+05:30,580.0,580.0,580.0,75
349,580.0,2018-10-31 14:30:00+05:30,580.0,580.0,580.0,0
350,537.0,2018-10-31 14:45:00+05:30,580.0,537.0,580.0,150
351,519.0,2018-10-31 15:00:00+05:30,537.0,519.0,537.0,225
352,524.0,2018-10-31 15:15:00+05:30,524.0,519.0,519.0,75
353,502.0,2018-11-01 09:15:00+05:30,510.0,502.0,510.0,225
354,502.0,2018-11-01 09:30:00+05:30,502.0,502.0,502.0,0
355,502.0,2018-11-01 09:45:00+05:30,502.0,502.0,502.0,0
356,502.0,2018-11-01 10:00:00+05:30,502.0,502.0,502.0,0
357,502.0,2018-11-01 10:15:00+05:30,502.0,502.0,502.0,0
358,502.0,2018-11-01 10:30:00+05:30,502.0,502.0,502.0,0
359,502.0,2018-11-01 10:45:00+05:30,502.0,502.0,502.0,0
360,502.0,2018-11-01 11:00:00+05:30,502.0,502.0,502.0,0
361,502.0,2018-11-01 11:15:00+05:30,502.0,502.0,502.0,0
362,502.0,2018-11-01 11:30:00+05:30,502.0,502.0,502.0,0
363,502.0,2018-11-01 11:45:00+05:30,502.0,502.0,502.0,0
364,502.0,2018-11-01 12:00:00+05:30,502.0,502.0,502.0,0
365,502.0,2018-11-01 12:15:00+05:30,502.0,502.0,502.0,0
366,502.0,2018-11-01 12:30:00+05:30,502.0,502.0,502.0,0
367,502.0,2018-11-01 12:45:00+05:30,502.0,502.0,502.0,0
368,502.0,2018-11-01 13:00:00+05:30,502.0,502.0,502.0,0
369,502.0,2018-11-01 13:15:00+05:30,502.0,502.0,502.0,0
370,502.0,2018-11-01 13:30:00+05:30,502.0,502.0,502.0,0
371,502.0,2018-11-01 13:45:00+05:30,502.0,502.0,502.0,0
372,502.0,2018-11-01 14:00:00+05:30,502.0,502.0,502.0,0
373,502.0,2018-11-01 14:15:00+05:30,502.0,502.0,502.0,0
374,502.0,2018-11-01 14:30:00+05:30,502.0,502.0,502.0,0
375,502.0,2018-11-01 14:45:00+05:30,502.0,502.0,502.0,0
376,502.0,2018-11-01 15:00:00+05:30,502.0,502.0,502.0,0
377,502.0,2018-11-01 15:15:00+05:30,502.0,502.0,502.0,0
378,430.95,2018-11-02 09:30:00+05:30,444.4,430.95,444.4,600
379,402.45,2018-11-02 09:45:00+05:30,430.95,402.45,430.95,225
380,412.0,2018-11-02 10:00:00+05:30,419.8,402.45,402.45,600
381,405.9,2018-11-02 10:15:00+05:30,412.0,405.85,412.0,450
382,405.9,2018-11-02 10:30:00+05:30,405.9,405.9,405.9,0
383,406.0,2018-11-02 10:45:00+05:30,432.75,405.9,405.9,150
384,406.0,2018-11-02 11:00:00+05:30,406.0,406.0,406.0,0
385,406.0,2018-11-02 11:15:00+05:30,406.0,406.0,406.0,0
386,395.0,2018-11-02 11:30:00+05:30,437.2,395.0,406.0,150
387,404.0,2018-11-02 11:45:00+05:30,404.0,388.75,395.0,225
388,403.95,2018-11-02 12:00:00+05:30,404.0,400.75,404.0,150
389,403.95,2018-11-02 12:15:00+05:30,403.95,403.95,403.95,0
390,403.95,2018-11-02 12:30:00+05:30,403.95,403.95,403.95,0
391,403.95,2018-11-02 12:45:00+05:30,403.95,403.95,403.95,75
392,403.95,2018-11-02 13:00:00+05:30,403.95,403.95,403.95,0
393,403.95,2018-11-02 13:15:00+05:30,403.95,403.95,403.95,0
394,403.95,2018-11-02 13:30:00+05:30,403.95,403.95,403.95,0
395,385.0,2018-11-02 13:45:00+05:30,403.95,385.0,403.95,75
396,399.0,2018-11-02 14:00:00+05:30,399.0,385.0,385.0,75
397,420.0,2018-11-02 14:15:00+05:30,420.0,399.0,399.0,300
398,420.0,2018-11-02 14:30:00+05:30,420.0,420.0,420.0,0
399,422.0,2018-11-02 14:45:00+05:30,422.0,420.0,420.0,75
400,422.0,2018-11-02 15:00:00+05:30,422.0,422.0,422.0,0
401,422.0,2018-11-02 15:15:00+05:30,422.0,422.0,422.0,0
402,440.0,2018-11-05 09:15:00+05:30,440.0,432.35,440.0,450
403,440.0,2018-11-05 09:30:00+05:30,440.0,440.0,440.0,0
404,440.0,2018-11-05 09:45:00+05:30,440.0,440.0,440.0,0
405,422.0,2018-11-05 10:00:00+05:30,440.0,422.0,440.0,225
406,438.8,2018-11-05 10:15:00+05:30,438.8,422.0,422.0,75
407,438.8,2018-11-05 10:30:00+05:30,438.8,438.8,438.8,0
408,438.8,2018-11-05 10:45:00+05:30,438.8,438.8,438.8,0
409,438.8,2018-11-05 11:00:00+05:30,438.8,438.8,438.8,0
410,440.7,2018-11-05 11:15:00+05:30,445.25,438.8,438.8,225
411,440.7,2018-11-05 11:30:00+05:30,440.7,440.7,440.7,0
412,446.4,2018-11-05 11:45:00+05:30,446.4,440.7,440.7,225
413,441.2,2018-11-05 12:00:00+05:30,450.9,434.6,446.4,450
414,437.8,2018-11-05 12:15:00+05:30,441.2,437.45,441.2,525
415,432.95,2018-11-05 12:30:00+05:30,437.8,432.95,437.8,150
416,432.95,2018-11-05 12:45:00+05:30,432.95,432.95,432.95,0
417,440.9,2018-11-05 13:00:00+05:30,440.9,432.95,432.95,75
418,447.4,2018-11-05 13:15:00+05:30,447.4,440.9,440.9,75
419,443.55,2018-11-05 13:30:00+05:30,452.2,443.55,447.4,375
420,443.55,2018-11-05 13:45:00+05:30,443.55,443.55,443.55,0
421,440.45,2018-11-05 14:00:00+05:30,443.55,440.45,443.55,150
422,453.8,2018-11-05 14:15:00+05:30,453.8,440.45,440.45,75
423,454.4,2018-11-05 14:30:00+05:30,454.4,453.8,453.8,375
424,452.4,2018-11-05 14:45:00+05:30,454.4,444.0,454.4,300
425,435.55,2018-11-05 15:00:00+05:30,452.4,433.5,452.4,525
426,435.45,2018-11-05 15:15:00+05:30,435.55,427.15,435.55,375
427,400.2,2018-11-06 10:00:00+05:30,400.55,399.6,399.6,900
428,400.2,2018-11-06 10:15:00+05:30,400.2,400.2,400.2,0
429,393.05,2018-11-06 10:30:00+05:30,400.2,393.05,400.2,450
430,393.05,2018-11-06 10:45:00+05:30,393.05,393.05,393.05,0
431,393.05,2018-11-06 11:00:00+05:30,393.05,393.05,393.05,0
432,393.05,2018-11-06 11:15:00+05:30,393.05,393.05,393.05,0
433,393.05,2018-11-06 11:30:00+05:30,393.05,393.05,393.05,0
434,393.05,2018-11-06 11:45:00+05:30,393.05,393.05,393.05,0
435,393.05,2018-11-06 12:00:00+05:30,393.05,393.05,393.05,0
436,393.05,2018-11-06 12:15:00+05:30,393.05,393.05,393.05,0
437,393.05,2018-11-06 12:30:00+05:30,393.05,393.05,393.05,0
438,393.05,2018-11-06 12:45:00+05:30,393.05,393.05,393.05,0
439,393.05,2018-11-06 13:00:00+05:30,393.05,393.05,393.05,0
440,393.05,2018-11-06 13:15:00+05:30,393.05,393.05,393.05,0
441,393.05,2018-11-06 13:30:00+05:30,393.05,393.05,393.05,0
442,401.85,2018-11-06 13:45:00+05:30,401.85,393.05,393.05,75
443,401.85,2018-11-06 14:00:00+05:30,401.85,401.85,401.85,0
444,449.0,2018-11-06 14:15:00+05:30,449.0,401.85,401.85,75
445,426.0,2018-11-06 14:30:00+05:30,449.0,426.0,449.0,75
446,426.0,2018-11-06 14:45:00+05:30,426.0,426.0,426.0,0
447,426.0,2018-11-06 15:00:00+05:30,426.0,426.0,426.0,0
448,426.0,2018-11-06 15:15:00+05:30,426.0,426.0,426.0,0
449,377.15,2018-11-07 18:00:00+05:30,386.6,374.75,386.6,225
450,377.15,2018-11-07 18:15:00+05:30,377.15,377.15,377.15,0
451,376.0,2018-11-09 10:15:00+05:30,376.0,376.0,376.0,300
452,360.0,2018-11-09 10:30:00+05:30,376.0,360.0,376.0,75
453,360.0,2018-11-09 10:45:00+05:30,360.0,360.0,360.0,150
454,360.0,2018-11-09 11:00:00+05:30,360.0,360.0,360.0,0
455,360.0,2018-11-09 11:15:00+05:30,360.0,360.0,360.0,0
456,360.0,2018-11-09 11:30:00+05:30,360.0,360.0,360.0,0
457,360.0,2018-11-09 11:45:00+05:30,360.0,360.0,360.0,0
458,360.0,2018-11-09 12:00:00+05:30,360.0,360.0,360.0,0
459,360.0,2018-11-09 12:15:00+05:30,360.0,360.0,360.0,0
460,360.0,2018-11-09 12:30:00+05:30,360.0,360.0,360.0,0
461,360.0,2018-11-09 12:45:00+05:30,360.0,360.0,360.0,0
462,360.0,2018-11-09 13:00:00+05:30,360.0,360.0,360.0,0
463,360.0,2018-11-09 13:15:00+05:30,360.0,360.0,360.0,0
464,360.0,2018-11-09 13:30:00+05:30,360.0,360.0,360.0,0
465,360.0,2018-11-09 13:45:00+05:30,360.0,360.0,360.0,0
466,360.0,2018-11-09 14:00:00+05:30,360.0,360.0,360.0,0
467,360.0,2018-11-09 14:15:00+05:30,360.0,360.0,360.0,0
468,360.0,2018-11-09 14:30:00+05:30,360.0,360.0,360.0,0
469,360.0,2018-11-09 14:45:00+05:30,360.0,360.0,360.0,0
470,360.0,2018-11-09 15:00:00+05:30,360.0,360.0,360.0,0
471,360.0,2018-11-09 15:15:00+05:30,360.0,360.0,360.0,0
472,324.3,2018-11-12 09:30:00+05:30,324.3,324.3,324.3,75
473,324.3,2018-11-12 09:45:00+05:30,324.3,324.3,324.3,0
474,362.0,2018-11-12 10:00:00+05:30,362.0,324.3,324.3,75
475,362.0,2018-11-12 10:15:00+05:30,362.0,362.0,362.0,0
476,362.0,2018-11-12 10:30:00+05:30,362.0,362.0,362.0,0
477,362.0,2018-11-12 10:45:00+05:30,362.0,362.0,362.0,0
478,362.0,2018-11-12 11:00:00+05:30,362.0,362.0,362.0,0
479,366.7,2018-11-12 11:15:00+05:30,366.7,362.0,362.0,75
480,366.7,2018-11-12 11:30:00+05:30,366.7,366.7,366.7,0
481,366.7,2018-11-12 11:45:00+05:30,366.7,366.7,366.7,0
482,366.7,2018-11-12 12:00:00+05:30,366.7,366.7,366.7,0
483,366.7,2018-11-12 12:15:00+05:30,366.7,366.7,366.7,0
484,366.7,2018-11-12 12:30:00+05:30,366.7,366.7,366.7,0
485,366.7,2018-11-12 12:45:00+05:30,366.7,366.7,366.7,0
486,366.7,2018-11-12 13:00:00+05:30,366.7,366.7,366.7,0
487,366.7,2018-11-12 13:15:00+05:30,366.7,366.7,366.7,0
488,401.0,2018-11-12 13:30:00+05:30,401.0,366.7,366.7,150
489,401.0,2018-11-12 13:45:00+05:30,401.0,401.0,401.0,0
490,430.8,2018-11-12 14:00:00+05:30,430.8,401.0,401.0,75
491,428.0,2018-11-12 14:15:00+05:30,430.8,428.0,430.8,75
492,428.0,2018-11-12 14:30:00+05:30,428.0,428.0,428.0,0
493,428.0,2018-11-12 14:45:00+05:30,428.0,428.0,428.0,0
494,428.0,2018-11-12 15:00:00+05:30,428.0,428.0,428.0,0
495,428.0,2018-11-12 15:15:00+05:30,428.0,428.0,428.0,0
496,440.0,2018-11-13 09:45:00+05:30,440.0,414.1,436.85,525
497,439.0,2018-11-13 10:00:00+05:30,440.0,439.0,440.0,75
498,435.0,2018-11-13 10:15:00+05:30,439.0,430.0,439.0,675
499,440.0,2018-11-13 10:30:00+05:30,445.0,432.6,435.0,675
500,445.0,2018-11-13 10:45:00+05:30,450.0,440.0,440.0,600
501,440.0,2018-11-13 11:00:00+05:30,445.0,440.0,445.0,600
502,440.0,2018-11-13 11:15:00+05:30,440.0,440.0,440.0,0
503,435.0,2018-11-13 11:30:00+05:30,440.0,435.0,440.0,75
504,433.9,2018-11-13 11:45:00+05:30,435.0,361.95,435.0,300
505,433.9,2018-11-13 12:00:00+05:30,433.9,433.9,433.9,0
506,433.9,2018-11-13 12:15:00+05:30,433.9,433.9,433.9,0
507,433.9,2018-11-13 12:30:00+05:30,433.9,433.9,433.9,0
508,430.0,2018-11-13 12:45:00+05:30,433.9,430.0,433.9,75
509,408.5,2018-11-13 13:00:00+05:30,430.0,408.5,430.0,150
510,408.5,2018-11-13 13:15:00+05:30,408.5,408.5,408.5,0
511,382.25,2018-11-13 13:30:00+05:30,408.5,382.25,408.5,150
512,382.25,2018-11-13 13:45:00+05:30,382.25,382.25,382.25,0
513,382.25,2018-11-13 14:00:00+05:30,382.25,382.25,382.25,0
514,368.9,2018-11-13 14:15:00+05:30,382.25,360.0,382.25,150
515,370.4,2018-11-13 14:30:00+05:30,370.4,368.9,368.9,225
