,close,dateTime,Date,high,low,open,volume,,Close,high,low,open,volume,Straddle,,High,Low,open Call,Open Put,Straddle open,Close call,Close Put,Straddle Close,,TP,SL,1.05,0.95,
,76.45,2018-12-07 10:00:00+05:30,07-12-2018,78.5,74.9,74.9,140250,,309.1,315.4,302.85,315.25,60000,,385.55,FALSE,FALSE,77.85,299.7,377.55,,,#VALUE!,,396.4275,358.6725,0,0,0
,78.05,2018-12-07 10:15:00+05:30,07-12-2018,79,75.8,76.45,196350,,304,309.1,299.85,309.1,40275,,382.05,FALSE,FALSE,77.85,299.7,377.55,,,#VALUE!,,396.4275,358.6725,0,0,0
,78,2018-12-07 10:30:00+05:30,07-12-2018,78.75,76.4,78.05,142200,,303.95,308,302.8,304,17700,,381.95,FALSE,FALSE,77.85,299.7,377.55,,,#VALUE!,,396.4275,358.6725,0,0,0
,77.35,2018-12-07 10:45:00+05:30,07-12-2018,78.7,76.35,78,81075,,307.5,310.05,302,303.95,16275,,384.85,FALSE,FALSE,77.85,299.7,377.55,,,#VALUE!,,396.4275,358.6725,0,0,0
,76.85,2018-12-07 11:00:00+05:30,07-12-2018,78.5,76.85,77.35,86775,,308.05,309.45,303.5,307.5,25425,,384.9,FALSE,FALSE,77.85,299.7,377.55,,,#VALUE!,,396.4275,358.6725,0,0,0
,77.05,2018-12-07 11:15:00+05:30,07-12-2018,77.8,75.5,76.85,97575,,310.7,314.9,308.05,308.05,13050,,387.75,FALSE,FALSE,77.85,299.7,377.55,,,#VALUE!,,396.4275,358.6725,0,0,0
,74.1,2018-12-07 11:30:00+05:30,07-12-2018,77.05,72.9,77.05,134775,,319.35,323.4,310.7,310.7,20025,,393.45,FALSE,FALSE,77.85,299.7,377.55,,,#VALUE!,,396.4275,358.6725,0,0,0
,76.55,2018-12-07 11:45:00+05:30,07-12-2018,76.9,73.85,74.2,77400,,314.35,322.05,314,319.35,8850,,390.9,FALSE,FALSE,77.85,299.7,377.55,,,#VALUE!,,396.4275,358.6725,0,0,0
,76.25,2018-12-07 12:00:00+05:30,07-12-2018,77.25,75.3,76.55,68700,,317,318.7,313.5,314.35,7800,,393.25,FALSE,FALSE,77.85,299.7,377.55,,,#VALUE!,,396.4275,358.6725,0,0,0
,85.8,2018-12-07 12:15:00+05:30,07-12-2018,86,76.25,76.25,253800,,296.5,317,293.1,317,33150,,382.3,FALSE,FALSE,77.85,299.7,377.55,,,#VALUE!,,396.4275,358.6725,0,0,0
,83.45,2018-12-07 12:30:00+05:30,07-12-2018,86.8,82.55,85.35,182550,,301,302.75,292,296.5,17400,,384.45,FALSE,FALSE,77.85,299.7,377.55,,,#VALUE!,,396.4275,358.6725,0,0,0
,78.3,2018-12-07 12:45:00+05:30,07-12-2018,84.75,77.95,83.6,114300,,313.3,313.3,298,301,24300,,391.6,FALSE,FALSE,77.85,299.7,377.55,,,#VALUE!,,396.4275,358.6725,0,0,0
,77.05,2018-12-07 13:00:00+05:30,07-12-2018,79.75,74.7,78.15,191775,,317,328.95,310,313.3,23475,,394.05,FALSE,FALSE,77.85,299.7,377.55,,,#VALUE!,,396.4275,358.6725,0,0,0
,75.4,2018-12-07 13:15:00+05:30,07-12-2018,79.3,74.4,76.95,119625,,321.9,325.1,313.75,317,12900,,397.3,TRUE,FALSE,77.85,299.7,377.55,,,#VALUE!,,396.4275,358.6725,1,1,1
,81.45,2018-12-07 13:30:00+05:30,07-12-2018,81.6,73,75.25,243300,,302.25,330.3,302,321.9,32250,,383.7,FALSE,FALSE,77.85,299.7,377.55,,,#VALUE!,,396.4275,358.6725,0,1,1
,83,2018-12-07 13:45:00+05:30,07-12-2018,86,80.55,81.7,203700,,296.55,303.75,289.4,302,31650,,379.55,FALSE,FALSE,77.85,299.7,377.55,,,#VALUE!,,396.4275,358.6725,0,1,1
,85.3,2018-12-07 14:00:00+05:30,07-12-2018,86.35,82.55,83.1,206850,,290.35,299.95,285,296.55,79200,,375.65,FALSE,FALSE,77.85,299.7,377.55,,,#VALUE!,,396.4275,358.6725,0,1,1
,80.85,2018-12-07 14:15:00+05:30,07-12-2018,85.3,78.6,85.3,151500,,295.35,304.05,289.5,290.35,33600,,376.2,FALSE,FALSE,77.85,299.7,377.55,,,#VALUE!,,396.4275,358.6725,0,1,1
,87.75,2018-12-07 14:30:00+05:30,07-12-2018,89.6,77.3,80.85,311925,,274,303,267.6,295.35,61875,,361.75,FALSE,FALSE,77.85,299.7,377.55,,,#VALUE!,,396.4275,358.6725,0,1,1
